event_id,session_id,event_stage,stage_order
1,SES00001,Browse,1
2,SES00001,Browse,1
3,SES00001,Browse,1
4,SES00001,Checkout,3
5,SES00002,Browse,1
6,SES00002,Checkout,3
7,SES00002,Purchase,4
8,SES00003,Browse,1
9,SES00003,Checkout,3
10,SES00003,Purchase,4
11,SES00004,Browse,1
12,SES00005,Browse,1
13,SES00006,Browse,1
14,SES00007,Browse,1
15,SES00008,Browse,1
16,SES00008,Checkout,3
17,SES00008,Purchase,4
18,SES00009,Browse,1
19,SES00010,Browse,1
20,SES00011,Browse,1
21,SES00011,Checkout,3
22,SES00012,Browse,1
23,SES00013,Browse,1
24,SES00013,Checkout,3
25,SES00013,Purchase,4
26,SES00014,Browse,1
27,SES00014,Checkout,3
28,SES00014,Purchase,4
29,SES00015,Browse,1
30,SES00015,Checkout,3
31,SES00015,Purchase,4
32,SES00016,Browse,1
33,SES00016,Checkout,3
34,SES00017,Browse,1
35,SES00018,Browse,1
36,SES00019,Browse,1
37,SES00020,Browse,1
38,SES00021,Browse,1
39,SES00022,Browse,1
40,SES00022,Checkout,3
41,SES00023,Browse,1
42,SES00024,Browse,1
43,SES00024,Checkout,3
44,SES00025,Browse,1
45,SES00025,Checkout,3
46,SES00026,Browse,1
47,SES00026,Checkout,3
48,SES00026,Purchase,4
49,SES00027,Browse,1
50,SES00028,Browse,1
51,SES00029,Browse,1
52,SES00030,Browse,1
53,SES00031,Browse,1
54,SES00031,Checkout,3
55,SES00031,Purchase,4
56,SES00032,Browse,1
57,SES00033,Browse,1
58,SES00033,Checkout,3
59,SES00033,Purchase,4
60,SES00034,Browse,1
61,SES00034,Checkout,3
62,SES00035,Browse,1
63,SES00035,Checkout,3
64,SES00036,Browse,1
65,SES00037,Browse,1
66,SES00038,Browse,1
67,SES00039,Browse,1
68,SES00039,Checkout,3
69,SES00040,Browse,1
70,SES00041,Browse,1
71,SES00041,Checkout,3
72,SES00042,Browse,1
73,SES00043,Browse,1
74,SES00044,Browse,1
75,SES00045,Browse,1
76,SES00046,Browse,1
77,SES00047,Browse,1
78,SES00048,Browse,1
79,SES00048,Checkout,3
80,SES00049,Browse,1
81,SES00050,Browse,1
82,SES00050,Checkout,3
83,SES00051,Browse,1
84,SES00052,Browse,1
85,SES00053,Browse,1
86,SES00053,Checkout,3
87,SES00054,Browse,1
88,SES00055,Browse,1
89,SES00056,Browse,1
90,SES00057,Browse,1
91,SES00058,Browse,1
92,SES00058,Checkout,3
93,SES00059,Browse,1
94,SES00060,Browse,1
95,SES00060,Checkout,3
96,SES00060,Purchase,4
97,SES00061,Browse,1
