session_id,user_id,session_start,session_end,session_duration_min,device,region,channel,product_category,revenue,bounce_flag,max_funnel_stage
SES00001,USR00001,"2025-10-28 07:33:50","2025-10-28 07:40:50",7,Desktop,West,Organic,Home,0.00,Yes,Checkout
SES00002,USR00002,"2025-10-19 09:15:10","2025-10-19 09:27:10",12,Desktop,East,Email,Electronics,448.18,No,Purchase
SES00003,USR00003,"2025-10-12 02:19:00","2025-10-12 02:29:00",10,Desktop,East,"Google Ads",Beauty,1437.19,No,Purchase
SES00004,USR00004,"2025-10-05 17:55:48","2025-10-05 17:55:48",0,Tablet,West,"Social Media",Home,0.00,Yes,Browse
SES00005,USR00005,"2025-10-19 12:35:49","2025-10-19 12:37:49",2,Tablet,West,"Google Ads",Electronics,0.00,Yes,Browse
SES00006,USR00006,"2025-10-06 13:20:53","2025-10-06 13:20:53",0,Tablet,North,Email,Beauty,0.00,Yes,Browse
SES00007,USR00007,"2025-10-20 15:23:11","2025-10-20 15:23:11",0,Mobile,South,"Google Ads",Home,0.00,Yes,Browse
SES00008,USR00008,"2025-10-13 12:59:29","2025-10-13 13:10:29",11,Desktop,West,"Google Ads",Beauty,304.30,No,Purchase
SES00009,USR00009,"2025-10-17 10:27:10","2025-10-17 10:30:10",3,Tablet,South,Organic,Fashion,0.00,Yes,Browse
SES00010,USR00010,"2025-10-30 17:23:31","2025-10-30 17:23:31",0,Desktop,West,Email,Sports,0.00,Yes,Browse
SES00011,USR00011,"2025-10-23 13:33:44","2025-10-23 13:39:44",6,Tablet,South,"Social Media",Fashion,0.00,Yes,Checkout
SES00012,USR00012,"2025-10-30 17:47:53","2025-10-30 17:49:53",2,Desktop,North,"Social Media",Beauty,0.00,Yes,Browse
SES00013,USR00013,"2025-10-24 09:26:53","2025-10-24 09:40:53",14,Tablet,East,"Social Media",Sports,912.30,No,Purchase
SES00014,USR00014,"2025-10-30 17:13:50","2025-10-30 17:25:50",12,Tablet,South,"Google Ads",Fashion,948.09,No,Purchase
SES00015,USR00015,"2025-10-13 22:58:27","2025-10-13 23:10:27",12,Mobile,West,"Google Ads",Beauty,313.31,No,Purchase
SES00016,USR00016,"2025-10-26 17:56:29","2025-10-26 18:03:29",7,Mobile,East,Organic,Electronics,0.00,Yes,Checkout
SES00017,USR00017,"2025-10-29 03:56:13","2025-10-29 03:56:13",0,Desktop,West,"Google Ads",Sports,0.00,Yes,Browse
SES00018,USR00018,"2025-10-19 23:13:10","2025-10-19 23:13:10",0,Mobile,East,Organic,Sports,0.00,Yes,Browse
SES00019,USR00019,"2025-10-07 01:32:36","2025-10-07 01:32:36",0,Mobile,West,"Google Ads",Home,0.00,Yes,Browse
SES00020,USR00020,"2025-10-27 12:48:22","2025-10-27 12:48:22",0,Desktop,West,Email,Electronics,0.00,Yes,Browse
SES00021,USR00021,"2025-10-08 22:04:33","2025-10-08 22:04:33",0,Desktop,South,"Social Media",Fashion,0.00,Yes,Browse
SES00022,USR00022,"2025-10-12 05:27:26","2025-10-12 05:35:26",8,Mobile,East,"Google Ads",Sports,0.00,Yes,Checkout
SES00023,USR00023,"2025-10-28 11:26:29","2025-10-28 11:28:29",2,Tablet,West,"Google Ads",Electronics,0.00,Yes,Browse
SES00024,USR00024,"2025-10-08 17:10:15","2025-10-08 17:14:15",4,Mobile,South,Organic,Home,0.00,Yes,Checkout
SES00025,USR00025,"2025-10-11 21:31:06","2025-10-11 21:40:06",9,Tablet,North,"Google Ads",Sports,0.00,Yes,Checkout
SES00026,USR00026,"2025-10-28 01:31:26","2025-10-28 01:44:26",13,Mobile,West,"Google Ads",Fashion,522.19,No,Purchase
SES00027,USR00027,"2025-10-03 10:08:55","2025-10-03 10:08:55",0,Mobile,South,"Social Media",Beauty,0.00,Yes,Browse
SES00028,USR00028,"2025-10-11 06:44:35","2025-10-11 06:48:35",4,Tablet,North,"Google Ads",Home,0.00,Yes,Browse
SES00029,USR00029,"2025-10-11 00:33:01","2025-10-11 00:33:01",0,Tablet,North,"Google Ads",Beauty,0.00,Yes,Browse
SES00030,USR00030,"2025-10-09 04:13:16","2025-10-09 04:18:16",5,Tablet,South,Organic,Fashion,0.00,Yes,Browse
SES00031,USR00031,"2025-10-31 06:41:07","2025-10-31 06:53:07",12,Tablet,East,Email,Fashion,952.45,No,Purchase
SES00032,USR00032,"2025-10-03 09:29:58","2025-10-03 09:32:58",3,Mobile,North,Organic,Sports,0.00,Yes,Browse
SES00033,USR00033,"2025-10-23 03:47:12","2025-10-23 03:57:12",10,Tablet,West,Email,Beauty,1266.22,No,Purchase
SES00034,USR00034,"2025-10-23 03:01:18","2025-10-23 03:10:18",9,Desktop,North,"Google Ads",Sports,0.00,Yes,Checkout
SES00035,USR00035,"2025-10-24 17:17:11","2025-10-24 17:23:11",6,Desktop,East,"Social Media",Electronics,0.00,Yes,Checkout
SES00036,USR00036,"2025-10-23 23:31:34","2025-10-23 23:35:34",4,Tablet,South,Organic,Fashion,0.00,Yes,Browse
SES00037,USR00037,"2025-10-04 18:02:46","2025-10-04 18:02:46",0,Mobile,West,"Google Ads",Home,0.00,Yes,Browse
SES00038,USR00038,"2025-10-05 05:36:37","2025-10-05 05:40:37",4,Tablet,North,"Google Ads",Beauty,0.00,Yes,Browse
SES00039,USR00039,"2025-10-24 12:49:39","2025-10-24 12:58:39",9,Desktop,East,Email,Sports,0.00,Yes,Checkout
SES00040,USR00040,"2025-10-13 06:39:58","2025-10-13 06:39:58",0,Desktop,South,Organic,Electronics,0.00,Yes,Browse
